TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'03211001000018',BW-MI-159,030035,12/18/2025,CASCADE VAL,CASCADE WINERY,06,MICHIGAN,80,TABLE RED WINE
'03235001000006',BW-MI-159,030034,12/18/2025,,CASCADE WINERY,06,MICHIGAN,80,TABLE RED WINE
'06090001000048',DSP-ID-2,06010L,09/17/2025,,ECSTASY,18,IDAHO,649,OTHER SPECIALTIES & PROPRIETARIES
'09079001000202',BW-NJ-68,090034,07/14/2025,,TOMASELLO WINERY,03,NEW JERSEY,84,SPARKLING WINE/CHAMPAGNE
'10363001000317',NJ-I-721,10NI37,07/16/2025,,LENZ MOSER,64,AUSTRIA,81,TABLE WHITE WINE
'11024001000092',NJ-I-721,11NI11,07/16/2025,,LENZ MOSER FETE,64,AUSTRIA,80,TABLE RED WINE
'11038001000725',NY-I-490,11MW01,10/10/2025,,BARENJAGER,53,GERMANY,669,OTHER HERB & SEED CORDIALS/LIQUEURS
'11038001000727',NY-I-490,11MW02,10/10/2025,,BARENJAGER,53,GERMANY,669,OTHER HERB & SEED CORDIALS/LIQUEURS
'11054001000049',NJ-I-721,11NI13,07/16/2025,,LENZ MOSER,64,AUSTRIA,80,TABLE RED WINE
'11115001000373',NY-I-490,11MW03,10/10/2025,HONEY & BOURBON,BARENJAGER,53,GERMANY,699,OTHER SPECIALTIES & PROPRIETARIES
'11115001000381',NY-I-490,11MW03,10/10/2025,HONEY & BOURBON,BARENJAGER,53,GERMANY,699,OTHER SPECIALTIES & PROPRIETARIES
'11262001000022',NY-I-490,11MW05,10/10/2025,JASMIN,JACQUES CARDIN,51,FRANCE,699,OTHER SPECIALTIES & PROPRIETARIES
'11262001000027',NY-I-490,11MW06,10/10/2025,APPLE,JACQUES CARDIN,51,FRANCE,699,OTHER SPECIALTIES & PROPRIETARIES
'11362001000028',NJ-I-721,11NI58,07/16/2025,,LENZ MOSER BLAU,64,AUSTRIA,80,TABLE RED WINE
'11364001000181',BR-MD-DOG-15000,110125,03/03/2026,DEBUTANTE,STILLWATER ARTISANAL,25,MARYLAND,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'12207001000532',CA-I-3613,120004,08/06/2025,MOSTO VERDE,VIEJO TONEL,85,PERU,588,OTHER GRAPE BRANDY (PISCO, GRAPPA) FB
'12207001000536',CA-I-3613,120006,08/06/2025,ACHOLADO,VIJO TONEL,85,PERU,588,OTHER GRAPE BRANDY (PISCO, GRAPPA) FB
'12207001000539',CA-I-3613,120007,08/06/2025,ITALIA,VIEJO TONEL,85,PERU,588,OTHER GRAPE BRANDY (PISCO, GRAPPA) FB
'12243001000461',NY-I-490,12MW02,10/10/2025,HONEY & PEAR,BARENJAGER,53,GERMANY,699,OTHER SPECIALTIES & PROPRIETARIES
'13004001000035',NY-I-490,13MW01,10/10/2025,PLUM,GEKKEIKAN,59,JAPAN,82,TABLE FLAVORED WINE
'13100001000426',NY-I-490,13MW04,10/10/2025,SUZAKU,GEKKEIKAN,59,JAPAN,981,SAKE - IMPORTED
'13100001000430',NY-I-490,13MW05,10/10/2025,SUZAKU,GEKKEIKAN,59,JAPAN,981,SAKE - IMPORTED
'13100001000440',NY-I-490,13MW06,10/10/2025,HONEY & TEA,BARENJAGER,53,GERMANY,669,OTHER HERB & SEED CORDIALS/LIQUEURS
'13100001000441',NY-I-490,13MW07,10/10/2025,HONEY & TEA,BARENJAGER,53,GERMANY,669,OTHER HERB & SEED CORDIALS/LIQUEURS
'13221001000316',DSP-MD-18,130002,07/30/2025,,SAO PAULO,67,BRAZIL,494,OTHER RUM GOLD USB
'13241001000512',NY-I-490,13MW09,10/10/2025,,MONKEY 47,53,GERMANY,258,OTHER DISTILLED GIN FB
'13260001000250',FL-I-15289,13CART,03/24/2025,,CARLA FACCIOLO,50,ITALY,81,TABLE WHITE WINE
'13301001000314',BR-ME-21011,13PJBP,07/30/2025,,THE SUBSTANCE,24,MAINE,902,ALE
'14022001000269',PR-S-15060,140715,03/27/2025,LATIN DRINKS,LATIN DRINKS,4A,PUERTO RICO,724,MARGARITA (UNDER 48 PROOF)
'14023001000889',NY-I-490,14MW04,10/10/2025,,SORTILEGE,69,CANADA,699,OTHER SPECIALTIES & PROPRIETARIES
'14030001000233',NY-I-490,14MW03,10/10/2025,BIZAN BARLEY,GEKKEIKAN,59,JAPAN,699,OTHER SPECIALTIES & PROPRIETARIES
'14030001000237',NY-I-490,14MW02,10/10/2025,BIZAN SWEET POTATO,GEKKEIKAN,59,JAPAN,699,OTHER SPECIALTIES & PROPRIETARIES
'14030001000242',NY-I-490,14MW01,10/10/2025,BIZAN RICE,GEKKEIKAN,59,JAPAN,699,OTHER SPECIALTIES & PROPRIETARIES
'14049001000115',NY-I-490,14MW04,10/10/2025,ANEJO,CASAMIGOS,81,MEXICO,977,TEQUILA FB
'14049001000125',NY-I-490,14MW05,10/10/2025,BLANCO,CASAMIGOS,81,MEXICO,977,TEQUILA FB
'14049001000131',NY-I-490,14MW06,10/10/2025,REPOSADO,CASAMIGOS,81,MEXICO,977,TEQUILA FB
'14051001000202',NY-I-490,14MW08,10/10/2025,,MONKEY 47,53,GERMANY,268,OTHER GIN FB
'14091001000609',DSP-OR-15023,140007,06/08/2025,,BLACK MAPLE HILL,38,OREGON,102,STRAIGHT RYE WHISKY
'14091001000614',DSP-OR-15023,140008,06/08/2025,,BLACK MAPLE HILL,38,OREGON,101,STRAIGHT BOURBON WHISKY
'14119001000600',NY-I-15579,14BFPC,04/08/2025,,PICARDO,52,SPAIN,80,TABLE RED WINE
'14132001000626',NY-I-490,14MW09,10/10/2025,ANEJO,CASAMIGOS,81,MEXICO,977,TEQUILA FB
'14132001000629',NY-I-490,14MW10,10/10/2025,BLANCO,CASAMIGOS,81,MEXICO,977,TEQUILA FB
'14132001000632',NY-I-490,14MW11,10/10/2025,REPOSADO,CASAMIGOS,81,MEXICO,977,TEQUILA FB
'14135001000060',NY-I-15579,14BFHV,04/08/2025,,HIZAN,52,SPAIN,81,TABLE WHITE WINE
'14164001000118',NY-I-15579,14BFHC,04/08/2025,COSECHA,HIZAN,52,SPAIN,80,TABLE RED WINE
'14171001000099',CA-I-21024,14BEBI,06/10/2025,BIANCODICASALLE,BENANTI,50,ITALY,81,TABLE WHITE WINE
'14218001000506',CA-P-22216,140001,03/05/2026,,VEGABRISA TEMPRANILLO,52,SPAIN,80,TABLE RED WINE
'14224001000432',BWN-FL-21003,140028,05/29/2025,,QUANTUM LEAP,50,ITALY,81,TABLE WHITE WINE
'14231001000068',NY-I-490,14MW13,10/10/2025,GOLD,GEKKEIKAN,59,JAPAN,981,SAKE - IMPORTED
'14251001000304',NJ-I-21067,14BR04,09/08/2025,,VICTORIA,81,MEXICO,952,ALE
'14301001000264',CA-P-22216,140002,03/05/2026,,NIT DEL FOC BRUT ROSÉ,52,SPAIN,84,SPARKLING WINE/CHAMPAGNE
'14301001000271',CA-P-22216,140003,03/05/2026,,NIT DEL FOC BRUT,52,SPAIN,84,SPARKLING WINE/CHAMPAGNE
'14301001000276',CA-P-22216,140004,03/05/2026,,NIT DEL FOC BRUT NATURE,52,SPAIN,84,SPARKLING WINE/CHAMPAGNE
'14317001000468',FL-I-15704,14SN03,08/29/2025,JUNMAI DAIGINJO,KAKU REI,59,JAPAN,981,SAKE - IMPORTED
'14351001000537',NY-I-490,14MW14,10/10/2025,MAPLE CREAM,SORTILEGE,69,CANADA,679,OTHER LIQUEUR (CREMES OR CREAMS)
'14356001000262',DSP-MO-16,140161,04/16/2025,SPICED RUM,SAILOR JERRY,29,MISSOURI,644,RUM SPECIALTIES
'15048001000583',CA-I-21462,150005,03/05/2026,,FINCA MANZANOS RESERVA,52,SPAIN,80,TABLE RED WINE
'15048001000587',CA-I-21462,150006,03/05/2026,,FINCA MANZANOS CRIANZA,52,SPAIN,80,TABLE RED WINE
