TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'05250001000138',BW-OR-162,050415,03/11/2024,PINOTOPIA,PUGO MASON EMPIRICAL SOLUTIONS,38,OREGON,80,TABLE RED WINE
'06178001000152',BW-OR-162,06PM01,03/11/2024,PINOTOPIA,PUGO MASON EMPIRICAL SOLUTIONS,38,OREGON,81,TABLE WHITE WINE
'06180001000132',BW-OR-162,06PM02,03/11/2024,CORK OFF,PUGO MASON EMPIRICAL SOLUTIONS,38,OREGON,82,TABLE FLAVORED WINE
'08212001000263',BW-OR-162,085683,03/11/2024,,WILLAMETTE FALLS LOCK FEST,38,OREGON,81,TABLE WHITE WINE
'08212001000265',BW-OR-162,085684,03/11/2024,,WILLAMETTE FALLS LOCK FEST,38,OREGON,80,TABLE RED WINE
'10149001000001',BW-OR-162,100003,03/11/2024,,MONTESQUEIU WINERY,38,OREGON,81,TABLE WHITE WINE
'10222001000258',BW-OR-162,100009,03/11/2024,,ATOMIC WINEWORKS,38,OREGON,81,TABLE WHITE WINE
'10222001000266',BW-OR-162,100010,03/11/2024,,ST. JOHN'S CELLARS,38,OREGON,81,TABLE WHITE WINE
'10222001000274',BW-OR-162,100011,03/11/2024,,HELLGATE CELLARS,38,OREGON,81,TABLE WHITE WINE
'12095001000614',BW-OR-162,120002,03/11/2024,,SIERRA PEAKS,38,OREGON,80,TABLE RED WINE
'15155001000472',NY-I-21183,150001,03/09/2024,,MICHEL VATTAN ARGILE,51,FRANCE,81,TABLE WHITE WINE
'15155001000477',NY-I-21183,150002,03/09/2024,,MICHEL VATTAN CALCAIRE,51,FRANCE,81,TABLE WHITE WINE
'15155001000529',NY-I-21183,150003,03/09/2024,,CHATEAU L'ESPERANCE CUVEE TROIS FRERES,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'15155001000538',NY-I-21183,150005,03/09/2024,,CHATEAU L'ESPERANCE INSTINCT,51,FRANCE,81,TABLE WHITE WINE
'15155001000539',NY-I-21183,150006,03/09/2024,,CHATEAU L'ESPERANCE LES CEDRES,51,FRANCE,80,TABLE RED WINE
'15181001000377',NY-I-21183,150009,03/09/2024,,DOMAINE DES TILLEULS LS QUATRE CHANTEAUX,51,FRANCE,81,TABLE WHITE WINE
'15181001000487',NY-I-21183,150011,03/09/2024,,MOURIESSE VINUM PIERRE D'AMBRE,51,FRANCE,80,TABLE RED WINE
'15181001000500',NY-I-21183,150012,03/09/2024,,MOURIESSE VINUM PIERRE D'AMBRE,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'15181001000507',NY-I-21183,150013,03/09/2024,,MOURIESSE VINUM TOUR D'AMBRE,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'15183001000138',NY-I-21183,150014,03/09/2024,CUVEE DES AMBASSADEURS GRAND CRU,COMTE AUDOIN DE DAMPIERRE CHAMPAGNE,51,FRANCE,84,SPARKLING WINE/CHAMPAGNE
